transcript_id	subject_id	pident	aln_length	evalue	bitscore	annotation
MSTRG.10057.1	sp|Q9LTJ6|RUP1_ARATH	44.987	389	1.03e-64	219.0	sp|Q9LTJ6|RUP1_ARATH WD repeat-containing protein RUP1 OS=Arabidopsis thaliana OX=3702 GN=RUP1 PE=1 SV=1
MSTRG.1006.1						
MSTRG.1006.2						
MSTRG.10066.1						
MSTRG.10068.1						
MSTRG.10068.2						
MSTRG.1007.1	sp|Q6ZMV5|P4R3C_HUMAN	47.917	48	2.19e-10	58.2	sp|Q6ZMV5|P4R3C_HUMAN Protein PPP4R3C OS=Homo sapiens OX=9606 GN=PPP4R3C PE=1 SV=3
MSTRG.10070.1						
MSTRG.10084.1						
MSTRG.1009.1						
MSTRG.10090.1						
MSTRG.10098.1						
MSTRG.1010.1						
MSTRG.10111.1						
MSTRG.1012.1						
MSTRG.1013.1						
MSTRG.1014.1	sp|Q9ZT94|POLR2_ARATH	28.854	253	7.07e-14	74.3	sp|Q9ZT94|POLR2_ARATH Retrovirus-related Pol polyprotein from transposon RE2 OS=Arabidopsis thaliana OX=3702 GN=RE2 PE=4 SV=1
MSTRG.1015.1						
MSTRG.10151.1						
MSTRG.10154.1						
MSTRG.10154.2						
MSTRG.10154.3						
MSTRG.10154.4						
MSTRG.10155.1						
MSTRG.10159.1	sp|F4IDI6|BRG2_ARATH	30.366	191	1.11e-15	83.6	sp|F4IDI6|BRG2_ARATH Probable BOI-related E3 ubiquitin-protein ligase 2 OS=Arabidopsis thaliana OX=3702 GN=BRG2 PE=1 SV=1
MSTRG.10159.2	sp|F4IDI6|BRG2_ARATH	30.366	191	1.11e-15	83.6	sp|F4IDI6|BRG2_ARATH Probable BOI-related E3 ubiquitin-protein ligase 2 OS=Arabidopsis thaliana OX=3702 GN=BRG2 PE=1 SV=1
MSTRG.1016.1	sp|Q7LHG5|YI31B_YEAST	35.102	735	3.59e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.10	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.69e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.11						
MSTRG.1016.12						
MSTRG.1016.13						
MSTRG.1016.14						
MSTRG.1016.2	sp|Q7LHG5|YI31B_YEAST	35.102	735	3.59e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.3	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.4	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.5	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.6	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.7	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.8	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.7e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.1016.9	sp|Q7LHG5|YI31B_YEAST	35.102	735	1.69e-120	424.0	sp|Q7LHG5|YI31B_YEAST Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY3B-I PE=1 SV=2
MSTRG.10163.1						
MSTRG.10163.2						
MSTRG.10163.3						
MSTRG.10163.4						
MSTRG.10164.1						
MSTRG.10165.1						
MSTRG.10168.1						
MSTRG.10175.1						
MSTRG.10175.2						
MSTRG.10175.3						
MSTRG.10185.1						
MSTRG.10185.2						
MSTRG.10186.1						
MSTRG.10186.2						
MSTRG.10186.3						
MSTRG.10187.1						
MSTRG.10187.2						
MSTRG.10188.1	sp|Q9SZL8|FRS5_ARATH	36.832	505	7.98e-98	338.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.10188.2	sp|Q9SZL8|FRS5_ARATH	36.832	505	7.95e-98	338.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.10188.3	sp|Q9SZL8|FRS5_ARATH	36.721	305	7.25e-54	208.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.10189.1						
MSTRG.10189.2						
MSTRG.10189.3						
MSTRG.10189.4						
MSTRG.10189.5						
MSTRG.10190.1						
MSTRG.10191.1	sp|Q94HW2|POLR1_ARATH	34.454	476	2.7e-72	258.0	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
MSTRG.10191.2	sp|Q94HW2|POLR1_ARATH	34.454	476	2.3e-72	258.0	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
MSTRG.10191.3	sp|Q94HW2|POLR1_ARATH	34.454	476	2.65e-72	258.0	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
MSTRG.10191.4	sp|Q94HW2|POLR1_ARATH	34.454	476	2.19e-72	258.0	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
MSTRG.10192.1						
MSTRG.10193.1						
MSTRG.10193.2						
MSTRG.10196.1						
MSTRG.10196.2						
MSTRG.10197.1						
MSTRG.10202.1	sp|Q6YXY2|HACL1_ORYSJ	70.184	597	0.0	716.0	sp|Q6YXY2|HACL1_ORYSJ Probable histone acetyltransferase HAC-like 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0137500 PE=3 SV=2
MSTRG.10202.2	sp|Q6YXY2|HACL1_ORYSJ	70.184	597	0.0	716.0	sp|Q6YXY2|HACL1_ORYSJ Probable histone acetyltransferase HAC-like 1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0137500 PE=3 SV=2
MSTRG.10205.1						
MSTRG.10206.1						
MSTRG.1021.1	sp|Q9SZL8|FRS5_ARATH	39.860	143	8.27e-39	107.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.1021.2	sp|Q9SZL8|FRS5_ARATH	39.860	143	1.1e-33	107.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.1021.3	sp|Q9SZL8|FRS5_ARATH	39.860	143	8.06e-39	107.0	sp|Q9SZL8|FRS5_ARATH Protein FAR1-RELATED SEQUENCE 5 OS=Arabidopsis thaliana OX=3702 GN=FRS5 PE=1 SV=1
MSTRG.10210.1						
MSTRG.10211.1	sp|O23755|EF2_BETVU	50.535	467	1.39e-135	451.0	sp|O23755|EF2_BETVU Elongation factor 2 OS=Beta vulgaris OX=161934 PE=2 SV=1
MSTRG.10211.2	sp|O23755|EF2_BETVU	50.535	467	1.37e-135	451.0	sp|O23755|EF2_BETVU Elongation factor 2 OS=Beta vulgaris OX=161934 PE=2 SV=1
MSTRG.10215.1	sp|Q9FGT1|ROS3_ARATH	48.750	80	3.72e-12	74.7	sp|Q9FGT1|ROS3_ARATH Protein REPRESSOR OF SILENCING 3 OS=Arabidopsis thaliana OX=3702 GN=ROS3 PE=2 SV=1
MSTRG.10215.2	sp|Q9FGT1|ROS3_ARATH	48.750	80	3.69e-12	74.7	sp|Q9FGT1|ROS3_ARATH Protein REPRESSOR OF SILENCING 3 OS=Arabidopsis thaliana OX=3702 GN=ROS3 PE=2 SV=1
MSTRG.10216.1	sp|Q9LFZ8|CAX6_ARATH	60.000	40	4.47e-17	55.5	sp|Q9LFZ8|CAX6_ARATH Putative vacuolar cation/proton exchanger 6 OS=Arabidopsis thaliana OX=3702 GN=CAX6 PE=3 SV=3
MSTRG.10221.1						
MSTRG.10226.1						
MSTRG.10227.1						
MSTRG.10227.2						
MSTRG.1023.1						
MSTRG.10231.1						
MSTRG.1024.1						
MSTRG.10245.1	sp|Q94HW2|POLR1_ARATH	38.986	513	4.95e-106	379.0	sp|Q94HW2|POLR1_ARATH Retrovirus-related Pol polyprotein from transposon RE1 OS=Arabidopsis thaliana OX=3702 GN=RE1 PE=2 SV=1
MSTRG.10253.1	sp|P08548|LIN1_NYCCO	24.892	462	6.03e-27	124.0	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=4 SV=1
MSTRG.10253.2						
MSTRG.10253.3	sp|P08548|LIN1_NYCCO	24.892	462	6.03e-27	124.0	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=4 SV=1
MSTRG.10253.4						
MSTRG.10253.5						
MSTRG.10258.1						
MSTRG.1026.1						
MSTRG.10264.1						
MSTRG.10264.2						
MSTRG.10264.3						
MSTRG.10266.1						
MSTRG.10266.2						
MSTRG.10272.1						
MSTRG.10276.1						
MSTRG.10281.1						
MSTRG.10282.1	sp|Q9C7S5|PSYR1_ARATH	46.532	894	0.0	791.0	sp|Q9C7S5|PSYR1_ARATH Tyrosine-sulfated glycopeptide receptor 1 OS=Arabidopsis thaliana OX=3702 GN=PSY1R PE=1 SV=1
MSTRG.10283.1	sp|Q9C7S5|PSYR1_ARATH	44.841	1037	0.0	843.0	sp|Q9C7S5|PSYR1_ARATH Tyrosine-sulfated glycopeptide receptor 1 OS=Arabidopsis thaliana OX=3702 GN=PSY1R PE=1 SV=1
MSTRG.10284.1						
MSTRG.10285.1	sp|Q6ZCZ2|BRL3_ORYSJ	54.762	42	2.23e-07	48.9	sp|Q6ZCZ2|BRL3_ORYSJ Brassinosteroid LRR receptor kinase BRL3 OS=Oryza sativa subsp. japonica OX=39947 GN=BRL3 PE=2 SV=1
MSTRG.10286.1						
MSTRG.10287.1						
MSTRG.10288.1	sp|Q9S9U3|RLP53_ARATH	54.054	37	1.31e-06	47.0	sp|Q9S9U3|RLP53_ARATH Receptor-like protein 53 OS=Arabidopsis thaliana OX=3702 GN=RLP53 PE=3 SV=1
MSTRG.10289.1						
MSTRG.10295.1	sp|Q9SF16|TCPH_ARATH	57.812	128	5.53e-36	133.0	sp|Q9SF16|TCPH_ARATH T-complex protein 1 subunit eta OS=Arabidopsis thaliana OX=3702 GN=CCT7 PE=1 SV=1
MSTRG.10295.2						
MSTRG.10299.1						
MSTRG.10300.1						
MSTRG.10303.1	sp|Q9LZ15|FBL78_ARATH	25.551	227	7.79e-10	66.2	sp|Q9LZ15|FBL78_ARATH Putative F-box/LRR-repeat protein At5g02700 OS=Arabidopsis thaliana OX=3702 GN=At5g02700 PE=4 SV=1
MSTRG.10304.1						
MSTRG.10304.2						
MSTRG.10305.1						
MSTRG.10305.2						
MSTRG.10305.3						
MSTRG.10305.4						
MSTRG.10309.1						
MSTRG.10327.1						
MSTRG.10328.1						
MSTRG.10346.1						
MSTRG.10364.1						
MSTRG.10365.1						
MSTRG.10366.1	sp|F4JTP5|STY46_ARATH	41.121	107	9.73e-11	64.7	sp|F4JTP5|STY46_ARATH Serine/threonine-protein kinase STY46 OS=Arabidopsis thaliana OX=3702 GN=STY46 PE=1 SV=1
MSTRG.10367.1	sp|Q8RWL6|STY17_ARATH	78.378	37	1.44e-26	64.7	sp|Q8RWL6|STY17_ARATH Serine/threonine-protein kinase STY17 OS=Arabidopsis thaliana OX=3702 GN=STY17 PE=1 SV=1
MSTRG.10368.1						
MSTRG.10369.1						
MSTRG.10371.1						
MSTRG.10371.10						
MSTRG.10371.2						
MSTRG.10371.3						
MSTRG.10371.4						
MSTRG.10371.5						
MSTRG.10371.6						
MSTRG.10371.7						
MSTRG.10371.8						
MSTRG.10371.9						
MSTRG.10381.1						
MSTRG.10382.1						
MSTRG.10387.1	sp|P62321|RUXF_XENLA	84.375	32	8.47e-16	59.3	sp|P62321|RUXF_XENLA Small nuclear ribonucleoprotein F OS=Xenopus laevis OX=8355 GN=snrpf PE=3 SV=1
MSTRG.10389.1	sp|Q9ZVC9|FRS3_ARATH	40.244	82	1.04e-15	85.5	sp|Q9ZVC9|FRS3_ARATH Protein FAR1-RELATED SEQUENCE 3 OS=Arabidopsis thaliana OX=3702 GN=FRS3 PE=2 SV=2
MSTRG.10393.1						
MSTRG.104.1						
MSTRG.10400.1						
MSTRG.10400.2						
MSTRG.1041.1	sp|Q9FHE1|GSTT3_ARATH	27.000	100	4.16e-06	53.9	sp|Q9FHE1|GSTT3_ARATH Glutathione S-transferase T3 OS=Arabidopsis thaliana OX=3702 GN=GSTT3 PE=2 SV=1
MSTRG.10413.3						
MSTRG.10413.4						
MSTRG.10413.5						
MSTRG.10413.6						
MSTRG.10415.1						
MSTRG.10428.1						
MSTRG.10428.2						
MSTRG.10428.3						
MSTRG.10428.4						
MSTRG.1043.1						
MSTRG.10437.1						
MSTRG.1044.1						
MSTRG.1045.1						
MSTRG.10454.1						
MSTRG.10454.2	sp|Q6EU14|AGO1A_ORYSJ	87.805	41	1.19e-13	82.0	sp|Q6EU14|AGO1A_ORYSJ Protein argonaute 1A OS=Oryza sativa subsp. japonica OX=39947 GN=AGO1A PE=2 SV=1
MSTRG.10454.3	sp|Q6EU14|AGO1A_ORYSJ	87.805	41	9.45e-14	82.0	sp|Q6EU14|AGO1A_ORYSJ Protein argonaute 1A OS=Oryza sativa subsp. japonica OX=39947 GN=AGO1A PE=2 SV=1
MSTRG.10455.1	sp|Q84MP7|H2AV3_ORYSJ	50.000	116	5.55e-21	94.4	sp|Q84MP7|H2AV3_ORYSJ Probable histone H2A variant 3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0743400 PE=2 SV=1
MSTRG.10455.2	sp|Q9SII0|H2AV2_ARATH	40.299	67	3.2e-06	49.3	sp|Q9SII0|H2AV2_ARATH Probable histone H2A variant 2 OS=Arabidopsis thaliana OX=3702 GN=At2g38810 PE=2 SV=1
MSTRG.10455.3	sp|Q84MP7|H2AV3_ORYSJ	50.000	116	3.68e-21	94.4	sp|Q84MP7|H2AV3_ORYSJ Probable histone H2A variant 3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0743400 PE=2 SV=1
MSTRG.10455.4						
MSTRG.10456.1						
MSTRG.10457.1						
MSTRG.10458.1						
MSTRG.10459.1						
MSTRG.1046.1						
MSTRG.10464.2						
MSTRG.10464.3						
MSTRG.10469.1						
MSTRG.1047.5						
MSTRG.1047.6						
MSTRG.1047.7						
MSTRG.1047.8						
MSTRG.10476.1						
MSTRG.10477.1	sp|O64792|PIGP_ARATH	63.830	47	5.6e-13	69.3	sp|O64792|PIGP_ARATH Phosphatidylinositol N-acetylglucosaminyltransferase subunit P OS=Arabidopsis thaliana OX=3702 GN=At1g61280 PE=2 SV=1
MSTRG.10477.2	sp|O64792|PIGP_ARATH	63.830	47	5.6e-13	69.3	sp|O64792|PIGP_ARATH Phosphatidylinositol N-acetylglucosaminyltransferase subunit P OS=Arabidopsis thaliana OX=3702 GN=At1g61280 PE=2 SV=1
MSTRG.10479.1						
MSTRG.10480.1						
MSTRG.10485.1						
MSTRG.10490.1	sp|Q69XV0|BZP50_ORYSJ	89.189	74	1.77e-33	134.0	sp|Q69XV0|BZP50_ORYSJ bZIP transcription factor 50 OS=Oryza sativa subsp. japonica OX=39947 GN=BZIP50 PE=2 SV=1
MSTRG.10498.1	sp|Q8RZV7|MSP1_ORYSJ	61.842	228	1.59e-72	256.0	sp|Q8RZV7|MSP1_ORYSJ Leucine-rich repeat receptor protein kinase MSP1 OS=Oryza sativa subsp. japonica OX=39947 GN=MSP1 PE=1 SV=1
MSTRG.105.1						
MSTRG.1050.1						
MSTRG.10502.1						
MSTRG.10503.1						
MSTRG.10507.1						
MSTRG.10507.10						
MSTRG.10507.11						
MSTRG.10507.12						
MSTRG.10507.2						
MSTRG.10507.3						
MSTRG.10507.4						
MSTRG.10507.5						
MSTRG.10507.6						
MSTRG.10507.7						
MSTRG.10507.8						
MSTRG.10507.9						
MSTRG.10510.6	sp|Q940Q3|ZTP29_ARATH	81.818	33	4.15e-08	58.5	sp|Q940Q3|ZTP29_ARATH Zinc transporter ZTP29 OS=Arabidopsis thaliana OX=3702 GN=ZTP29 PE=2 SV=1
MSTRG.10512.1						
MSTRG.10517.1						
MSTRG.10536.1						
MSTRG.10549.1						
MSTRG.10556.1						
MSTRG.10558.1						
MSTRG.10562.1						
MSTRG.10566.1						
MSTRG.10568.1						
MSTRG.10568.2						
MSTRG.10568.3						
MSTRG.10569.1						
MSTRG.10570.1	sp|Q01910|TF107_SCHPM	31.848	763	2.37e-108	338.0	sp|Q01910|TF107_SCHPM Transposon Tf1-107 polyprotein OS=Schizosaccharomyces pombe OX=4896 GN=Tf1-107 PE=1 SV=1
MSTRG.10573.1						
MSTRG.10574.1						
MSTRG.10579.1	sp|Q2R2D5|XA21_ORYSJ	43.519	108	3.53e-20	87.4	sp|Q2R2D5|XA21_ORYSJ Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. japonica OX=39947 GN=XA21 PE=1 SV=1
MSTRG.10580.1	sp|Q1MX30|XA21_ORYSI	39.316	117	6.96e-15	72.8	sp|Q1MX30|XA21_ORYSI Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. indica OX=39946 GN=XA21 PE=1 SV=1
MSTRG.10581.1	sp|Q2R2D5|XA21_ORYSJ	44.628	121	7.93e-24	108.0	sp|Q2R2D5|XA21_ORYSJ Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. japonica OX=39947 GN=XA21 PE=1 SV=1
MSTRG.10581.2	sp|Q2R2D5|XA21_ORYSJ	36.538	104	9.25e-10	63.2	sp|Q2R2D5|XA21_ORYSJ Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. japonica OX=39947 GN=XA21 PE=1 SV=1
MSTRG.10582.1	sp|Q2R2D5|XA21_ORYSJ	47.619	63	9.23e-13	64.3	sp|Q2R2D5|XA21_ORYSJ Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. japonica OX=39947 GN=XA21 PE=1 SV=1
MSTRG.10583.1						
MSTRG.10584.1	sp|Q2R2D5|XA21_ORYSJ	46.867	399	3.05e-97	333.0	sp|Q2R2D5|XA21_ORYSJ Receptor kinase-like protein Xa21 OS=Oryza sativa subsp. japonica OX=39947 GN=XA21 PE=1 SV=1
MSTRG.10586.1						
MSTRG.10586.2						
MSTRG.10586.3						
MSTRG.10590.1	sp|A0A1D6F5N5|LRR5_MAIZE	47.748	111	5.49e-13	65.9	sp|A0A1D6F5N5|LRR5_MAIZE Disease resistance protein BAK6 OS=Zea mays OX=4577 GN=BAK6 PE=1 SV=1
MSTRG.10591.7						
MSTRG.10591.8						
MSTRG.10592.1						
MSTRG.10598.1	sp|Q8GYE8|NSUN5_ARATH	57.944	107	4.5e-29	119.0	sp|Q8GYE8|NSUN5_ARATH 25S rRNA (cytosine-C(5))-methyltransferase NSUN5 OS=Arabidopsis thaliana OX=3702 GN=NSUN5 PE=1 SV=1
MSTRG.10598.2	sp|Q8GYE8|NSUN5_ARATH	57.944	107	4.5e-29	119.0	sp|Q8GYE8|NSUN5_ARATH 25S rRNA (cytosine-C(5))-methyltransferase NSUN5 OS=Arabidopsis thaliana OX=3702 GN=NSUN5 PE=1 SV=1
MSTRG.10602.1						
MSTRG.10606.1	sp|Q9FQ04|XRN4_ARATH	35.955	89	5.16e-07	56.2	sp|Q9FQ04|XRN4_ARATH 5'-3' exoribonuclease 4 OS=Arabidopsis thaliana OX=3702 GN=XRN4 PE=1 SV=1
MSTRG.1061.1						
MSTRG.10614.1						
MSTRG.10617.1						
MSTRG.10623.1						
MSTRG.10623.2						
MSTRG.10623.3						
MSTRG.10623.4						
MSTRG.10623.5						
MSTRG.10623.6						
MSTRG.10623.7						
MSTRG.10627.1	sp|Q11136|PEPD_MOUSE	62.500	32	9.79e-12	48.9	sp|Q11136|PEPD_MOUSE Xaa-Pro dipeptidase OS=Mus musculus OX=10090 GN=Pepd PE=1 SV=3
MSTRG.10629.1	sp|O65451|FB333_ARATH	55.128	78	1.97e-17	79.7	sp|O65451|FB333_ARATH Probable F-box protein At4g22030 OS=Arabidopsis thaliana OX=3702 GN=At4g22030 PE=4 SV=1
MSTRG.10636.1						
MSTRG.10637.1						
